transaction_id,datetime,entity,outlet,items,gross_amount,discount_amount,net_amount,payment_status
TRX1080,3 Sep 2026 11:35 AM,Retail,Dago,3,70000,0,70000,PAID
TRX1123,2026-09-06 18:52:00,Retail,Ciumbuleuit,1,22000,0,22000,PAID
TRX1167,2026-09-06 7:25:00,Retail,DAGO,3,132000,0,132000,PAID
TRX1141,10/09/2026 15:01,Retail,Ciumbuleuit,3,129000,19400,109600,PAID
TRX1078,2026-09-11 20:34:00,Retail,Buah  Batu,2,86000,0,86000,PAID
TRX1064,02/09/2026 18:34,Retail,Ciumbuleuit,1,40000,0,40000,PAID
TRX1016,2026-09-09 10:37:00,Retail,Ciumbuleuit,1,22000,2200,19800,PAID
TRX1021,1 Sep 2026 5:34 PM,Retail,Dago,1,15000,2200,12800,PAID
TRX1043,04/09/2026 14:39,Retail,Dago,2,73000,0,73000,PAID
TRX1125,2026-09-02 14:28:00,Retail,Riau,2,60000,0,60000,PAID
TRX1196,2026-09-13 12:48:00,Roastery,Reseller Aromanis,1,3750000,0,3750000,PAID
TRX1086,14 Sep 2026 5:09 PM,Retail,DAGO,2,86000,0,86000,PAID
TRX1071,2026-09-12 16:30:00,Retail,Riau,1,40000,0,40000,PAID
TRX1108,2026-09-08 17:01:00,Retail,Dago,2,55000,0,55000,PAID
TRX1029,2026-09-02 18:35:00,Retail,Ciumbuleuit,2,76000,15200,60800,PAID
TRX1136,2026-09-11 14:55:00,Retail,Riau,3,65000,0,65000,PAID
TRX1182,2026-09-04 12:52:00,Roastery,Distributor Jaya Kopi,1,1200000,0,1200000,PAID
TRX1019,2026-09-01 17:41:00,Retail,DAGO,1,50000,0,50000,PAID
TRX1037,2026-09-07 17:53:00,Retail,Riau,1,44000,6600,37400,VOID
TRX1053,2026-09-02 19:41:00,Retail,dago,1,20000,0,20000,PAID
TRX1098,2026-09-14 17:23:00,Retail,Dago,3,116000,0,116000,PAID
TRX1161,2026-09-11 7:31:00,Retail,Riau,3,152000,15200,136800,PAID
TRX1002,2026-09-07 10:28:00,Retail,Riau,1,15000,0,15000,PAID
TRX1195,03/09/2026 16:09,Roastery,Kafe Titik Temu,1,960000,0,960000,PAID
TRX1028,2026-09-14 15:45:00,Retail,Riau,3,87000,0,87000,PAID
TRX1072,11 Sep 2026 10:59 AM,Retail,Riau,3,89000,0,89000,PAID
TRX1005,14/09/2026 08:24,Retail,Riau,2,88000,0,88000,PAID
TRX1139,2026-09-13 18:30:00,Retail,Buah  Batu,3,86000,0,86000,PAID
TRX1186,10/09/2026 12:34,Roastery,Distributor Jaya Kopi,1,1500000,0,1500000,PAID
TRX1157,2026-09-02 9:20:00,Retail,Dago,2,70000,0,70000,PAID
TRX1101,2026-09-05 7:44:00,Retail,Riau,1,50000,0,50000,PAID
TRX1040,05/09/2026 15:19,Retail,Buah Batu,2,82000,16400,65600,PAID
TRX1185,2026-09-11 12:48:00,Roastery,Kafe Titik Temu,1,720000,0,720000,PAID
TRX1168,11 Sep 2026 4:07 PM,Retail,Ciumbuleuit,1,50000,0,50000,PAID
TRX1110,2026-09-10 13:06:00,Retail,Dago,3,114000,0,114000,PAID
TRX1063,2026-09-06 13:47:00,Retail,Riau,2,104000,0,104000,PAID
TRX1140,2026-09-05 10:19:00,Retail,dago,1,40000,0,40000,PAID
TRX1046,2026-09-05 19:15:00,Retail,Riau,3,125000,18800,106200,PAID
TRX1033,2026-09-06 10:43:00,Retail,Ciumbuleuit,3,106000,0,106000,PAID
TRX1039,2026-09-13 15:43:00,Retail,Ciumbuleuit,2,73000,0,73000,PAID
TRX1045,2026-09-13 14:42:00,Retail,Riau,2,94000,0,94000,PAID
TRX1083,2026-09-08 20:09:00,Retail,Buah Batu,3,156000,0,156000,PAID
TRX1131,2026-09-12 17:58:00,Retail,dago,3,156000,0,156000,PAID
TRX1199,03/09/2026 17:26,Roastery,Kafe Titik Temu,1,3750000,0,3750000,PAID
TRX1127,08/09/2026 8:51,Retail,Riau,3,92000,0,92000,PAID
TRX1174,2026-09-07 11:52:00,Roastery,Distributor Jaya Kopi,1,185000,0,185000,PAID
TRX1041,2026-09-10 16:19:00,Retail,Buah Batu,3,111000,0,111000,PAID
TRX1177,2026-09-08 17:21:00,Roastery,Distributor Jaya Kopi,1,1440000,0,1440000,PAID
TRX1030,2026-09-05 21:58:00,Retail,Dago,1,48000,0,48000,VOID
TRX1050,12/09/2026 9:53,Retail,Buah  Batu,1,32000,0,32000,PAID
TRX1150,2026-09-01 9:54:00,Retail,Buah Batu,1,20000,4000,16000,PAID
TRX1090,2026-09-08 17:16:00,Retail,Buah Batu,2,54000,0,54000,PAID
TRX1184,2026-09-02 11:00:00,Roastery,Distributor Jaya Kopi,1,740000,0,740000,PAID
TRX1089,3 Sep 2026 10:33 AM,Retail,Buah  Batu,3,88000,0,88000,PAID
TRX1031,2026-09-11 11:10:00,Retail,Buah  Batu,3,102000,0,102000,PAID
TRX1119,2026-09-05 12:07:00,Retail,Dago,2,68000,0,68000,PAID
TRX1130,12 Sep 2026 5:25 PM,Retail,Ciumbuleuit,3,128000,0,128000,PAID
TRX1095,6 Sep 2026 3:32 PM,Retail,Riau,1,56000,0,56000,PAID
TRX1176,01/09/2026 11:33,Roastery,Reseller Aromanis,1,1440000,0,1440000,PAID
TRX1144,2026-09-12 14:40:00,Retail,Ciumbuleuit,1,44000,4400,39600,VOID
TRX1024,2026-09-09 21:54:00,Retail,Ciumbuleuit,1,32000,0,32000,VOID
TRX1120,02/09/2026 13:55,Retail,dago,2,88000,0,88000,PAID
TRX1001,2026-09-02 16:27:00,Retail,DAGO,1,22000,4400,17600,VOID
TRX1192,01/09/2026 13:24,Roastery,Reseller Aromanis,1,3450000,0,3450000,PAID
TRX1042,2026-09-11 10:32:00,Retail,Buah  Batu,3,98000,0,98000,PAID
TRX1116,12 Sep 2026 3:13 PM,Retail,Buah Batu,2,90000,0,90000,PAID
TRX1111,2026-09-06 13:20:00,Retail,Riau,2,62000,0,62000,PAID
TRX1026,2026-09-05 13:08:00,Retail,Riau,2,72000,0,72000,PAID
TRX1154,02/09/2026 19:43,Retail,Riau,3,120000,0,120000,PAID
TRX1027,2026-09-09 10:32:00,Retail,Riau,1,28000,0,28000,PAID
TRX1071,2026-09-12 16:30:00,Retail,Riau,1,40000,0,40000,PAID
TRX1085,2026-09-08 7:08:00,Retail,Riau,1,30000,4500,25500,VOID
TRX1092,05/09/2026 18:18,Retail,Dago,3,136000,0,136000,PAID
TRX1075,10 Sep 2026 7:48 AM,Retail,Riau,3,100000,0,100000,PAID
TRX1165,2026-09-05 14:01:00,Retail,DAGO,2,84000,0,84000,VOID
TRX1204,2026-09-04 9:48:00,Roastery,Reseller Aromanis,1,960000,0,960000,PAID
TRX1181,05/09/2026 9:18,Roastery,Distributor Jaya Kopi,1,2250000,0,2250000,PAID
TRX1018,8 Sep 2026 7:26 PM,Retail,Ciumbuleuit,1,44000,0,44000,PAID
TRX1010,2026-09-03 19:43:00,Retail,Buah Batu,3,158000,0,158000,PAID
TRX1158,14 Sep 2026 8:33 AM,Retail,Ciumbuleuit,2,48000,0,48000,PAID
TRX1068,2026-09-03 19:36:00,Retail,Riau,1,20000,0,20000,PAID
TRX1013,10 Sep 2026 12:31 PM,Retail,Dago,1,56000,5600,50400,PAID
TRX1048,2026-09-13 16:44:00,Retail,DAGO,3,150000,0,150000,PAID
TRX1023,2026-09-08 9:12:00,Retail,Riau,1,22000,0,22000,VOID
TRX1094,8 Sep 2026 7:37 AM,Retail,Riau,3,124000,12400,111600,PAID
TRX1115,2026-09-06 12:00:00,Retail,Ciumbuleuit,1,64000,12800,51200,PAID
TRX1020,2026-09-08 9:27:00,Retail,Ciumbuleuit,2,40000,0,40000,PAID
TRX1084,14 Sep 2026 7:26 PM,Retail,Dago,2,96000,0,96000,PAID
TRX1170,03/09/2026 14:59,Roastery,Distributor Jaya Kopi,1,480000,0,480000,PAID
TRX1065,2026-09-10 11:06:00,Retail,Ciumbuleuit,2,80000,16000,64000,PAID
TRX1126,2026-09-14 11:04:00,Retail,Dago,3,114000,0,114000,PAID
TRX1099,2026-09-11 13:07:00,Retail,Ciumbuleuit,1,44000,0,44000,PAID
TRX1034,13/09/2026 19:11,Retail,Buah Batu,1,40000,0,40000,PAID
TRX1135,2026-09-10 14:29:00,Retail,Riau,2,84000,0,84000,PAID
TRX1170,03/09/2026 14:59,Roastery,Distributor Jaya Kopi,1,480000,0,480000,PAID
TRX1162,2026-09-08 10:21:00,Retail,Ciumbuleuit,2,78000,0,78000,PAID
TRX1179,05/09/2026 13:45,Roastery,Reseller Aromanis,1,3450000,0,3450000,PAID
TRX1143,06/09/2026 10:46,Retail,dago,3,124000,0,124000,PAID
TRX1197,10/09/2026 10:03,Roastery,Distributor Jaya Kopi,1,925000,0,925000,PAID
TRX1118,07/09/2026 8:18,Retail,Buah Batu,3,95000,14200,80800,PAID
TRX1183,10/09/2026 12:15,Roastery,Reseller Aromanis,1,1110000,55500,1054500,PAID
TRX1159,14 Sep 2026 8:16 AM,Retail,Ciumbuleuit,3,136000,0,136000,PAID
TRX1057,2 Sep 2026 7:36 PM,Retail,dago,2,112000,22400,89600,PAID
TRX1005,14/09/2026 08:24,Retail,Riau,2,88000,0,88000,PAID
TRX1121,2026-09-05 8:25:00,Retail,DAGO,2,70000,7000,63000,PAID
TRX1137,2026-09-07 8:58:00,Retail,Ciumbuleuit,2,53000,0,53000,PAID
TRX1047,2026-09-03 9:14:00,Retail,Buah Batu,3,114000,0,114000,PAID
TRX1096,13 Sep 2026 8:29 AM,Retail,DAGO,1,15000,0,15000,PAID
TRX1178,12/09/2026 13:39,Roastery,Kafe Titik Temu,1,370000,37000,333000,PAID
TRX1038,2026-09-06 18:50:00,Retail,Riau,2,57000,0,57000,PAID
TRX1104,4 Sep 2026 4:13 PM,Retail,Ciumbuleuit,2,30000,0,30000,PAID
TRX1106,2026-09-06 7:11:00,Retail,Riau,1,40000,0,40000,PAID
TRX1190,2026-09-01 14:50:00,Roastery,Kafe Titik Temu,1,370000,0,370000,PAID
TRX1134,12/09/2026 10:28,Retail,Riau,3,106000,0,106000,PAID
TRX1097,06/09/2026 8:50,Retail,Buah Batu,1,28000,0,28000,PAID
TRX1164,2026-09-10 13:15:00,Retail,Ciumbuleuit,2,84000,0,84000,PAID
TRX1088,2026-09-08 9:44:00,Retail,Riau,1,44000,0,44000,PAID
TRX1097,06/09/2026 8:50,Retail,Buah Batu,1,28000,0,28000,PAID
TRX1126,2026-09-14 11:04:00,Retail,Dago,3,114000,0,114000,PAID
TRX1175,08/09/2026 14:26,Roastery,Reseller Aromanis,1,6900000,690000,6210000,PAID
TRX1109,2026-09-06 16:09:00,Retail,DAGO,1,56000,0,56000,PAID
TRX1160,2026-09-03 9:42:00,Retail,Riau,3,92000,0,92000,PAID
TRX1044,2026-09-13 20:49:00,Retail,Dago,2,50000,5000,45000,PAID
TRX1151,2026-09-10 9:43:00,Retail,Buah Batu,2,71000,0,71000,PAID
TRX1142,2026-09-09 12:04:00,Retail,Dago,2,74000,0,74000,PAID
TRX1015,2026-09-09 19:46:00,Retail,Ciumbuleuit,3,154000,15400,138600,VOID
TRX1070,2026-09-13 10:40:00,Retail,Ciumbuleuit,2,44000,4400,39600,PAID
TRX1076,2026-09-02 14:22:00,Retail,Buah Batu,2,43000,0,43000,PAID
TRX1105,2026-09-09 11:51:00,Retail,Ciumbuleuit,1,24000,3600,20400,PAID
TRX1056,07/09/2026 13:45,Retail,Ciumbuleuit,1,32000,4800,27200,PAID
TRX1133,2026-09-09 7:42:00,Retail,Riau,3,80000,0,80000,VOID
TRX1169,2026-09-13 9:12:00,Retail,Buah Batu,3,92000,0,92000,PAID
TRX1036,04/09/2026 7:42,Retail,Ciumbuleuit,2,71000,0,71000,PAID
TRX1077,14 Sep 2026 7:35 PM,Retail,Dago,2,100000,15000,85000,PAID
TRX1060,14/09/2026 12:11,Retail,Buah  Batu,1,56000,0,56000,PAID
TRX1082,2026-09-14 8:17:00,Retail,Buah Batu,2,45000,0,45000,PAID
TRX1078,2026-09-11 20:34:00,Retail,Buah  Batu,2,86000,0,86000,PAID
TRX1055,13 Sep 2026 8:10 PM,Retail,Riau,1,32000,0,32000,PAID
TRX1191,07/09/2026 17:20,Roastery,Reseller Aromanis,1,6900000,345000,6555000,PAID
TRX1081,2026-09-09 18:17:00,Retail,Buah Batu,2,50000,0,50000,PAID
TRX1147,2026-09-12 14:23:00,Retail,Riau,1,48000,9600,38400,PAID
TRX1187,01/09/2026 15:50,Roastery,Kafe Titik Temu,1,1110000,0,1110000,PAID
TRX1202,2026-09-12 15:23:00,Roastery,Kafe Titik Temu,1,4600000,0,4600000,PAID
TRX1074,8 Sep 2026 2:05 PM,Retail,DAGO,2,112000,11200,100800,PAID
TRX1128,2026-09-06 12:58:00,Retail,Riau,2,74000,0,74000,PAID
TRX1035,4 Sep 2026 11:10 AM,Retail,Dago,2,45000,6800,38200,PAID
TRX1014,2026-09-12 14:52:00,Retail,Dago,3,87000,0,87000,PAID
TRX1198,2026-09-08 10:43:00,Roastery,Reseller Aromanis,1,1150000,0,1150000,PAID
TRX1193,2026-09-01 13:41:00,Roastery,Kafe Titik Temu,1,185000,0,185000,PAID
TRX1055,13 Sep 2026 8:10 PM,Retail,Riau,1,32000,0,32000,PAID
TRX1138,2026-09-02 12:14:00,Retail,Dago,2,59000,8800,50200,PAID
TRX1059,2026-09-04 20:59:00,Retail,dago,2,55000,0,55000,PAID
TRX1112,2026-09-12 12:51:00,Retail,Ciumbuleuit,3,118000,0,118000,PAID
TRX1102,11 Sep 2026 12:34 PM,Retail,Riau,1,50000,5000,45000,PAID
TRX1011,2026-09-11 21:34:00,Retail,Riau,3,124000,24800,99200,PAID
TRX1189,09/09/2026 16:17,Roastery,Reseller Aromanis,1,2250000,225000,2025000,PAID
TRX1062,2026-09-08 19:01:00,Retail,DAGO,2,64000,0,64000,PAID
TRX1012,2026-09-09 19:11:00,Retail,Dago,3,83000,0,83000,PAID
TRX1180,12/09/2026 13:18,Roastery,Reseller Aromanis,1,4600000,0,4600000,PAID
TRX1172,2026-09-06 10:26:00,Roastery,Distributor Jaya Kopi,1,1440000,0,1440000,PAID
TRX1153,10 Sep 2026 11:44 AM,Retail,Buah Batu,1,22000,0,22000,PAID
TRX1114,2026-09-02 19:17:00,Retail,Ciumbuleuit,2,79000,11800,67200,PAID
TRX1008,2026-09-12 12:13:00,Retail,Buah Batu,2,88000,17600,70400,PAID
TRX1152,2026-09-04 8:01:00,Retail,Ciumbuleuit,2,96000,0,96000,PAID
TRX1025,14/09/2026 10:25,Retail,Dago,3,102000,0,102000,PAID
TRX1017,2026-09-04 11:42:00,Retail,Buah  Batu,1,32000,0,32000,PAID
TRX1052,7 Sep 2026 11:48 AM,Retail,Buah  Batu,2,40000,0,40000,VOID
TRX1061,01/09/2026 15:12,Retail,dago,1,48000,0,48000,PAID
